"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.09 (0.03-0.14)",0.00219986007075021
"Brain","0.14 (0.09-0.19)",5.60505910773704e-07
"Cardiovascular","0.11 (0.05-0.16)",0.000124922019858692
"Endocrine","0.14 (0.09-0.18)",1.41659600821634e-07
"Gastrointestinal","0.04 (-0.00-0.09)",0.0769654213659406
"Immune","0.12 (0.07-0.18)",6.33511623386855e-06
"Kidney_urinary","0.21 (0.16-0.26)",6.00056724371022e-16
"Liver","0.13 (0.08-0.19)",2.81386181686708e-06
"Lung","0.01 (-0.03-0.06)",0.620431605134895
"Muscle","0.13 (0.07-0.18)",2.48620360135338e-05
"Nerve","0.09 (0.04-0.14)",0.000305157804750014
"Pancreas","0.12 (0.08-0.16)",1.63267520365699e-07
"Prostate","-0.06 (-0.11--0.02)",0.00881653469272268
"Skin","0.07 (0.02-0.12)",0.0079556957981847
