"Organ","Effect Size (95% CI)","FDR"
"Adipose","1.09 (1.02-1.17)",0.0179343642705807
"Brain","1.16 (1.09-1.25)",1.8880770038842e-05
"Cardiovascular","1.17 (1.09-1.25)",1.51307900220225e-05
"Endocrine","1.24 (1.14-1.35)",9.62178618388087e-07
"Gastrointestinal","1.38 (1.29-1.48)",3.77876254787901e-18
"Immune","1.13 (1.06-1.21)",0.000537290221099998
"Kidney_urinary","1.28 (1.18-1.38)",1.13141934424741e-08
"Liver","1.07 (1.00-1.15)",0.0538767845794748
"Lung","1.29 (1.19-1.39)",1.77876549035295e-09
"Muscle","0.98 (0.91-1.05)",0.571159511740578
"Nerve","1.24 (1.16-1.33)",1.64937771065921e-08
"Ovary","1.02 (0.95-1.10)",0.590988251199154
"Pancreas","1.10 (1.02-1.18)",0.0179343642705807
"Skin","1.04 (0.97-1.11)",0.324139927543379
