"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.08 (0.04-0.11)",0.000107150316459558
"Brain","0.15 (0.11-0.19)",1.52662229076423e-14
"Cardiovascular","0.14 (0.10-0.18)",1.78751381327612e-11
"Endocrine","0.11 (0.08-0.15)",2.55751159330593e-09
"Gastrointestinal","0.14 (0.10-0.17)",4.04521486905853e-13
"Immune","0.18 (0.15-0.22)",6.5457599725298e-22
"Kidney_urinary","0.17 (0.13-0.20)",3.64521716025133e-19
"Liver","0.13 (0.09-0.16)",1.15922702731788e-10
"Lung","0.08 (0.04-0.11)",0.000135066699261446
"Muscle","0.09 (0.05-0.12)",3.80227725390381e-06
"Nerve","0.11 (0.07-0.15)",7.68975531078825e-09
"Ovary","0.10 (0.06-0.14)",4.03445677297364e-07
"Pancreas","0.09 (0.05-0.12)",4.24262097113397e-06
"Skin","0.09 (0.05-0.13)",1.91976208600619e-06
