"Organ","Effect Size (95% CI)","FDR"
"Adipose","1.00 (0.92-1.09)",0.988099898437637
"Brain","1.04 (0.95-1.15)",0.420387990041299
"Cardiovascular","1.16 (1.05-1.27)",0.00495366542271765
"Endocrine","1.19 (1.08-1.30)",0.0012403393938279
"Gastrointestinal","1.37 (1.25-1.51)",8.77365006120268e-10
"Immune","1.18 (1.08-1.28)",0.0012403393938279
"Kidney_urinary","1.30 (1.19-1.43)",1.660594329939e-07
"Liver","1.18 (1.08-1.29)",0.0012403393938279
"Lung","1.19 (1.08-1.31)",0.00139261597282693
"Muscle","1.04 (0.96-1.14)",0.392652104112795
"Nerve","1.09 (1.00-1.19)",0.0644561050529492
"Pancreas","1.08 (0.99-1.17)",0.116551166977577
"Prostate","0.87 (0.80-0.95)",0.00354784987134067
"Skin","0.99 (0.91-1.08)",0.840731096764816
