"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.03 (-0.01-0.07)",0.206082131382511
"Brain","0.10 (0.06-0.15)",1.54589977211352e-05
"Cardiovascular","0.17 (0.11-0.23)",1.51030711931373e-08
"Endocrine","0.16 (0.11-0.21)",1.39355529314174e-09
"Gastrointestinal","0.12 (0.06-0.17)",8.41329959508031e-05
"Immune","0.11 (0.06-0.16)",2.98636824819534e-05
"Kidney_urinary","0.21 (0.15-0.26)",3.82951226755625e-13
"Liver","0.12 (0.07-0.17)",6.31579145483211e-06
"Lung","0.08 (0.04-0.13)",0.00069377766592877
"Muscle","0.10 (0.05-0.15)",0.000520553213187208
"Nerve","0.10 (0.05-0.15)",7.67331205629446e-05
"Pancreas","0.10 (0.05-0.15)",0.000138719136606628
"Prostate","0.01 (-0.04-0.05)",0.786067943092131
"Skin","0.10 (0.05-0.15)",0.000159344487515845
