"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.89 (0.83-0.95)",0.0015080538163756
"Brain","0.79 (0.74-0.85)",8.88179387694445e-11
"Cardiovascular","0.82 (0.77-0.88)",7.48972478345684e-08
"Endocrine","0.86 (0.80-0.92)",3.37834379410891e-05
"Gastrointestinal","0.81 (0.76-0.87)",3.53073699770026e-09
"Immune","0.84 (0.79-0.90)",1.53179685959189e-06
"Kidney_urinary","0.80 (0.74-0.85)",2.61844244705149e-10
"Liver","0.77 (0.72-0.83)",3.10726482014953e-12
"Lung","0.86 (0.80-0.92)",2.4618043783897e-05
"Muscle","0.83 (0.77-0.90)",2.03700376839337e-06
"Nerve","0.84 (0.78-0.90)",1.84952023180763e-06
"Ovary","0.84 (0.77-0.93)",0.000649069692934053
"Pancreas","0.93 (0.87-0.99)",0.0306669316568825
"Prostate","0.97 (0.87-1.08)",0.618856350743098
"Skin","0.82 (0.76-0.88)",2.16707259360692e-08
