"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.04 (0.01-0.07)",0.0118889105229453
"Brain","0.08 (0.05-0.11)",1.55830587953617e-07
"Cardiovascular","0.13 (0.09-0.16)",5.40102176001586e-12
"Endocrine","0.10 (0.07-0.13)",4.74495553727706e-09
"Gastrointestinal","0.09 (0.06-0.12)",7.08414050227482e-08
"Immune","0.11 (0.08-0.14)",2.56475483960592e-10
"Kidney_urinary","0.16 (0.13-0.20)",6.23647995505608e-19
"Liver","0.09 (0.06-0.13)",5.50383225958906e-08
"Lung","0.08 (0.04-0.11)",3.79132299434871e-05
"Muscle","0.09 (0.05-0.12)",2.43188500507519e-06
"Nerve","0.05 (0.02-0.09)",0.00106748173459142
"Ovary","0.07 (0.03-0.11)",0.0011790110907591
"Pancreas","0.09 (0.06-0.13)",2.7785533682835e-07
"Prostate","0.02 (-0.03-0.06)",0.456472543833589
"Skin","0.08 (0.05-0.11)",8.8805874444028e-07
