"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.09 (0.05-0.13)",2.76395394535173e-05
"Brain","0.10 (0.06-0.14)",2.06647153562128e-07
"Cardiovascular","0.13 (0.08-0.17)",2.12983896704456e-08
"Endocrine","0.08 (0.04-0.12)",0.000185781755105648
"Gastrointestinal","0.11 (0.07-0.15)",6.85691546573903e-08
"Immune","0.15 (0.11-0.19)",1.90992143513559e-11
"Kidney_urinary","0.17 (0.12-0.21)",1.42086389749266e-13
"Liver","0.11 (0.07-0.15)",1.86523091520672e-07
"Lung","0.12 (0.08-0.15)",7.15187734944225e-09
"Muscle","0.06 (0.02-0.10)",0.00735790608262227
"Nerve","0.05 (0.01-0.09)",0.0120056300190181
"Ovary","0.11 (0.06-0.16)",1.99764036149891e-05
"Pancreas","0.11 (0.06-0.15)",2.45967995764977e-06
"Skin","0.10 (0.06-0.15)",1.11935291128129e-05
