"Organ","OR (95% CI)","FDR"
"Adipose","0.88 (0.56-1.38)",0.883857668494001
"Brain","0.97 (0.63-1.50)",0.958501032827159
"Cardiovascular","0.66 (0.40-1.10)",0.872171869953922
"Endocrine","0.78 (0.46-1.33)",0.872171869953922
"Gastrointestinal","0.96 (0.57-1.60)",0.958501032827159
"Immune","0.74 (0.46-1.20)",0.872171869953922
"Kidney and Bladder","0.74 (0.42-1.29)",0.872171869953922
"Liver","0.92 (0.57-1.47)",0.92330100482976
"Lung","0.87 (0.54-1.40)",0.883857668494001
"Muscle","0.89 (0.56-1.42)",0.883857668494001
"Nerve","0.71 (0.42-1.22)",0.872171869953922
"Pancreas","0.80 (0.46-1.40)",0.872171869953922
"Prostate","1.23 (0.77-1.99)",0.872171869953922
"Skin","0.99 (0.62-1.57)",0.958501032827159
