"Organ","Effect Size","FDR"
"Adipose","0.09 (0.06-0.12)",2.48506697013368e-09
"Brain","0.17 (0.14-0.20)",1.90863561524141e-25
"Cardiovascular","0.11 (0.08-0.14)",1.4163064718709e-12
"Endocrine","0.13 (0.10-0.16)",2.27150673937102e-13
"Gastrointestinal","0.14 (0.11-0.18)",2.09454569099743e-17
"Immune","0.15 (0.12-0.18)",3.81553783807455e-20
"Kidney_urinary","0.23 (0.20-0.27)",1.33096516865576e-36
"Liver","0.12 (0.09-0.15)",4.89436235112407e-14
"Lung","0.09 (0.06-0.12)",9.64978741286756e-09
"Muscle","0.11 (0.08-0.14)",4.25500672810813e-11
"Nerve","0.06 (0.03-0.09)",0.000310562873751595
"Ovary","0.09 (0.05-0.13)",2.83958207433855e-05
"Pancreas","0.15 (0.11-0.18)",2.36608520674517e-16
"Prostate","-0.07 (-0.12--0.03)",0.00140923447235358
"Skin","0.12 (0.09-0.15)",5.32705165784251e-14
