"Organ","Effect Size","FDR"
"Adipose","0.00 (-0.02-0.03)",0.808870875295875
"Brain","-0.02 (-0.04-0.01)",0.266145469870985
"Cardiovascular","-0.04 (-0.07--0.01)",0.023494926490894
"Endocrine","-0.03 (-0.05-0.00)",0.0746522495156749
"Gastrointestinal","-0.01 (-0.04-0.01)",0.374921293752161
"Immune","-0.01 (-0.04-0.01)",0.371579552883721
"Kidney_urinary","-0.05 (-0.07--0.02)",0.000582120280434215
"Liver","-0.02 (-0.05-0.01)",0.198911425555284
"Lung","-0.02 (-0.05-0.01)",0.141951881273952
"Muscle","-0.01 (-0.03-0.02)",0.64183479477383
"Nerve","-0.02 (-0.04-0.01)",0.25736508319004
"Ovary","-0.02 (-0.05-0.02)",0.338062871490144
"Pancreas","-0.01 (-0.03-0.02)",0.570010510039364
"Prostate","0.03 (-0.01-0.07)",0.17877807653747
"Skin","-0.01 (-0.03-0.02)",0.505386782603615
