"Organ","Effect Size","FDR"
"Adipose","0.17 (0.12-0.21)",1.05304512135673e-11
"Brain","0.14 (0.10-0.18)",2.33479784544613e-12
"Cardiovascular","0.15 (0.11-0.20)",1.79849489831485e-10
"Endocrine","0.12 (0.09-0.16)",6.6567900912461e-11
"Gastrointestinal","0.20 (0.16-0.25)",3.60596720563623e-17
"Immune","0.20 (0.16-0.25)",1.27218352947082e-20
"Kidney_urinary","0.14 (0.11-0.17)",1.88336472240956e-15
"Liver","0.20 (0.16-0.25)",9.04488640491677e-19
"Lung","0.16 (0.11-0.20)",2.10540207191074e-12
"Muscle","0.05 (0.03-0.08)",0.000125902851492696
"Nerve","0.18 (0.13-0.24)",3.25038484852499e-11
"Ovary","0.09 (0.05-0.12)",4.96200190411371e-06
"Pancreas","0.06 (0.02-0.09)",0.00166657988333973
"Prostate","0.08 (0.02-0.14)",0.00753980980020468
"Skin","0.17 (0.13-0.22)",1.47240746332032e-12
