"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.07 (0.03-0.10)",0.000257447215440566
"Brain","0.11 (0.08-0.14)",9.97929267938992e-13
"Cardiovascular","0.10 (0.07-0.13)",1.90672332932824e-10
"Endocrine","0.09 (0.06-0.11)",1.32935391653229e-08
"Gastrointestinal","0.10 (0.07-0.13)",5.28918055607383e-11
"Immune","0.13 (0.10-0.16)",1.04488562034795e-15
"Kidney_urinary","0.12 (0.09-0.15)",1.99056504650643e-15
"Liver","0.11 (0.08-0.14)",1.01686824233975e-11
"Lung","0.07 (0.04-0.11)",1.74016682917917e-05
"Muscle","0.07 (0.04-0.10)",2.85102350866708e-05
"Nerve","0.09 (0.06-0.11)",4.79295948989046e-08
"Ovary","0.08 (0.04-0.13)",0.000135568824631889
"Pancreas","0.07 (0.04-0.10)",3.33592437905312e-06
"Prostate","0.09 (0.05-0.13)",0.000160670584672035
"Skin","0.07 (0.04-0.10)",2.05115236875658e-06
