"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.16 (0.11-0.21)",2.50606735252476e-10
"Brain","0.13 (0.09-0.17)",3.42278632161875e-09
"Cardiovascular","0.15 (0.10-0.19)",2.3470581896509e-08
"Endocrine","0.12 (0.08-0.16)",2.84232801981547e-09
"Gastrointestinal","0.20 (0.15-0.25)",3.43839169353124e-14
"Immune","0.19 (0.14-0.24)",4.12691755402655e-15
"Kidney_urinary","0.13 (0.09-0.16)",7.05553889688522e-11
"Liver","0.19 (0.14-0.24)",1.36737814588814e-14
"Lung","0.16 (0.11-0.21)",5.28019365297978e-11
"Muscle","0.03 (0.01-0.06)",0.02837750798028
"Nerve","0.18 (0.12-0.24)",1.22000158918402e-09
"Ovary","0.09 (0.05-0.12)",2.38732953816184e-05
"Pancreas","0.05 (0.01-0.09)",0.0182541944623211
"Prostate","0.10 (0.03-0.16)",0.00602551079425908
"Skin","0.16 (0.11-0.21)",6.66495121066629e-10
