"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.01 (-0.04-0.01)",0.368299472170088
"Brain","-0.02 (-0.04--0.00)",0.0496916332916338
"Cardiovascular","0.01 (-0.02-0.03)",0.704636638711208
"Endocrine","-0.00 (-0.02-0.02)",0.98819238785811
"Gastrointestinal","-0.02 (-0.04-0.00)",0.14781580323495
"Immune","-0.00 (-0.02-0.02)",0.98819238785811
"Kidney_urinary","0.01 (-0.01-0.03)",0.430307285133886
"Liver","-0.02 (-0.05-0.00)",0.0923304074373602
"Lung","-0.01 (-0.04-0.02)",0.533027255053513
"Muscle","0.03 (0.00-0.05)",0.0558402873951576
"Nerve","-0.02 (-0.04-0.01)",0.220108373546145
"Ovary","0.00 (-0.03-0.03)",0.98819238785811
"Pancreas","-0.00 (-0.02-0.02)",0.916404330996198
"Prostate","-0.05 (-0.09--0.02)",0.00682096445917004
"Skin","-0.02 (-0.04-0.01)",0.178802589022947
