"Organ","Effect Size (95% CI)","FDR"
"Adipose","1.05 (0.99-1.11)",0.150484557030683
"Brain","1.10 (1.04-1.17)",0.00210904048777046
"Cardiovascular","1.15 (1.08-1.22)",2.28917903592315e-05
"Endocrine","1.23 (1.15-1.32)",1.78680176475815e-08
"Gastrointestinal","1.34 (1.27-1.43)",3.7783529864902e-20
"Immune","1.13 (1.06-1.20)",0.000262707061837695
"Kidney_urinary","1.31 (1.23-1.40)",1.439950354527e-14
"Liver","1.07 (1.01-1.13)",0.0367559386874036
"Lung","1.21 (1.13-1.29)",5.04077008433824e-07
"Muscle","0.94 (0.89-0.99)",0.0349076828167455
"Nerve","1.12 (1.05-1.18)",0.000589395739066129
"Ovary","1.02 (0.94-1.10)",0.698186720379429
"Pancreas","1.08 (1.02-1.15)",0.00957122247108585
"Prostate","0.83 (0.75-0.91)",0.000327367599538205
"Skin","0.99 (0.94-1.05)",0.839651019242013
