"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.37 (-0.43--0.31)",1.97946562955058e-31
"Brain","-0.29 (-0.31--0.26)",1.72147622204463e-91
"Cardiovascular","-0.32 (-0.35--0.29)",1.03293466150125e-105
"Endocrine","-0.35 (-0.40--0.31)",3.18819594138256e-47
"Gastrointestinal","-0.28 (-0.31--0.25)",4.69731475856317e-80
"Immune","-0.35 (-0.37--0.32)",1.62069843356422e-132
"Kidney_urinary","-0.37 (-0.40--0.33)",6.67938516117916e-84
"Liver","-0.27 (-0.30--0.24)",1.95752867163679e-81
"Lung","-0.32 (-0.37--0.27)",5.46252395033875e-40
"Muscle","-0.25 (-0.29--0.21)",5.35249057736983e-36
"Nerve","-0.31 (-0.35--0.28)",2.53478701080625e-76
"Ovary","-0.32 (-0.40--0.24)",1.31520552503148e-13
"Pancreas","-0.29 (-0.32--0.26)",9.99262584698952e-66
"Prostate","-0.25 (-0.29--0.21)",1.14860265744761e-32
"Skin","-0.29 (-0.32--0.25)",2.84182131915778e-59
