"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.01 (-0.02-0.04)",0.398985309388727
"Brain","-0.01 (-0.04-0.02)",0.537088660569934
"Cardiovascular","-0.03 (-0.06--0.00)",0.0555338557502845
"Endocrine","-0.02 (-0.05-0.01)",0.292266837092573
"Gastrointestinal","-0.02 (-0.05-0.00)",0.135482836562021
"Immune","-0.01 (-0.04-0.02)",0.395706646580922
"Kidney_urinary","-0.03 (-0.06--0.01)",0.0324439636783718
"Liver","-0.02 (-0.05-0.01)",0.349790109282334
"Lung","-0.01 (-0.04-0.02)",0.51189730482108
"Muscle","0.02 (-0.01-0.05)",0.282506674590583
"Nerve","-0.01 (-0.04-0.02)",0.452409654478264
"Ovary","-0.01 (-0.04-0.03)",0.710143811159875
"Pancreas","-0.00 (-0.03-0.02)",0.830296328317135
"Prostate","0.03 (-0.02-0.07)",0.28328386997752
"Skin","0.00 (-0.03-0.03)",0.88808105505146
