"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.94 (0.87-1.01)",0.108521370381644
"Brain","0.84 (0.78-0.91)",2.28917903592315e-05
"Cardiovascular","0.87 (0.80-0.93)",0.00031631397917121
"Endocrine","0.91 (0.85-0.98)",0.0233144827088966
"Gastrointestinal","0.85 (0.79-0.92)",8.57499251835552e-05
"Immune","0.91 (0.84-0.98)",0.0189778934386653
"Kidney_urinary","0.86 (0.80-0.93)",0.000338238873307925
"Liver","0.83 (0.77-0.90)",1.20968780522911e-05
"Lung","0.88 (0.82-0.94)",0.000940891106905742
"Muscle","0.87 (0.81-0.94)",0.000589395739066129
"Nerve","0.88 (0.82-0.95)",0.00109815174071047
"Ovary","0.86 (0.77-0.95)",0.00384050875817524
"Pancreas","0.97 (0.90-1.04)",0.376776397670559
"Prostate","0.99 (0.88-1.11)",0.839651019242013
"Skin","0.87 (0.80-0.93)",0.000271727266860683
