"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.05 (0.02-0.08)",0.00108519132900924
"Brain","0.08 (0.05-0.11)",1.6002853335448e-08
"Cardiovascular","0.02 (-0.01-0.05)",0.157674757454784
"Endocrine","0.09 (0.06-0.12)",1.09651052792986e-06
"Gastrointestinal","0.08 (0.05-0.11)",1.07844826432699e-07
"Immune","0.04 (0.01-0.07)",0.00641798950899719
"Kidney_urinary","0.13 (0.09-0.16)",5.9817904866038e-13
"Liver","0.05 (0.02-0.08)",0.00224904884269425
"Lung","0.05 (0.02-0.08)",0.00105775377637332
"Muscle","0.02 (-0.01-0.05)",0.156329948274737
"Nerve","0.03 (0.00-0.06)",0.0455363341237149
"Ovary","0.03 (-0.00-0.07)",0.10973178818051
"Pancreas","0.04 (0.01-0.07)",0.00854141570417463
"Prostate","-0.04 (-0.08-0.00)",0.0996784363393151
"Skin","0.09 (0.06-0.11)",1.42138927309042e-09
