"Organ","HR (95% CI)","FDR"
"Adipose","1.40 (0.70-2.80)",0.431345584190103
"Brain","2.41 (0.94-6.13)",0.197061232013064
"Cardiovascular","1.97 (0.86-4.52)",0.220477810427524
"Endocrine","2.35 (0.97-5.70)",0.197061232013064
"Gastrointestinal","1.99 (0.99-4.03)",0.197061232013064
"Immune","3.46 (1.22-9.80)",0.197061232013064
"Kidney and Bladder","1.83 (0.86-3.90)",0.220477810427524
"Liver","1.46 (0.82-2.60)",0.318726562931447
"Lung","1.23 (0.72-2.12)",0.503791667835557
"Muscle","1.47 (0.72-2.97)",0.390779171310273
"Nerve","1.55 (0.78-3.11)",0.318726562931447
"Ovary","1.42 (0.50-4.02)",0.510560737122201
"Pancreas","1.30 (0.64-2.62)",0.503791667835557
"Prostate","1.1e+01 (6.0e-01-2.1e+02)",0.220477810427524
"Skin","2.15 (0.96-4.82)",0.197061232013064
