"Organ","HR (95% CI)","FDR"
"Adipose","0.92 (0.79-1.07)",0.721184820564874
"Brain","1.08 (0.93-1.26)",0.721184820564874
"Cardiovascular","1.04 (0.88-1.23)",0.909459052180029
"Endocrine","1.12 (0.95-1.31)",0.721184820564874
"Gastrointestinal","1.16 (0.99-1.35)",0.721184820564874
"Immune","1.01 (0.87-1.17)",0.924446481942753
"Kidney and Bladder","1.11 (0.95-1.30)",0.721184820564874
"Liver","0.93 (0.80-1.08)",0.721184820564874
"Lung","0.99 (0.86-1.14)",0.924446481942753
"Muscle","0.97 (0.83-1.13)",0.909459052180029
"Nerve","1.03 (0.88-1.20)",0.909459052180029
"Ovary","1.07 (0.87-1.33)",0.84044305957484
"Pancreas","1.08 (0.93-1.25)",0.721184820564874
"Prostate","1.11 (0.88-1.39)",0.721184820564874
"Skin","1.01 (0.87-1.17)",0.924446481942753
