"Organ","HR (95% CI)","FDR"
"Adipose","1.26 (0.96-1.65)",0.305086603397435
"Brain","1.25 (0.98-1.60)",0.28718040734915
"Cardiovascular","1.45 (1.08-1.95)",0.164543986416871
"Endocrine","1.06 (0.83-1.36)",0.689733296979287
"Gastrointestinal","1.35 (1.04-1.73)",0.164543986416871
"Immune","1.27 (1.01-1.60)",0.217711981901289
"Kidney and Bladder","1.20 (0.91-1.59)",0.433927376024033
"Liver","1.16 (0.89-1.51)",0.453116005057198
"Lung","1.15 (0.89-1.49)",0.453116005057198
"Muscle","1.13 (0.87-1.45)",0.453116005057198
"Nerve","1.20 (0.92-1.57)",0.429075631838521
"Ovary","0.86 (0.62-1.21)",0.453116005057198
"Pancreas","1.12 (0.87-1.44)",0.453116005057198
"Prostate","1.23 (0.78-1.95)",0.453116005057198
"Skin","0.99 (0.75-1.31)",0.961626979577526
