"Organ","HR (95% CI)","FDR"
"Adipose","1.73 (1.40-2.14)",8.32801180620404e-07
"Brain","1.80 (1.48-2.20)",2.05320735504048e-08
"Cardiovascular","2.30 (1.80-2.94)",3.27358802056294e-10
"Endocrine","1.90 (1.52-2.38)",3.68063178373152e-08
"Gastrointestinal","1.94 (1.59-2.38)",9.41693141113837e-10
"Immune","1.75 (1.44-2.12)",3.68063178373152e-08
"Kidney and Bladder","2.05 (1.63-2.58)",3.48297393244473e-09
"Liver","1.89 (1.52-2.34)",2.08459121386205e-08
"Lung","1.79 (1.45-2.22)",1.34477770711961e-07
"Muscle","1.36 (1.11-1.68)",0.00351964398144961
"Nerve","1.84 (1.49-2.28)",3.68063178373152e-08
"Ovary","1.71 (1.29-2.27)",0.000256215425452377
"Pancreas","1.37 (1.14-1.64)",0.00100339713541827
"Prostate","1.24 (0.93-1.64)",0.139734724816612
"Skin","1.68 (1.37-2.06)",9.20506217450301e-07
