"Organ","HR (95% CI)","FDR"
"Adipose","1.10 (0.94-1.29)",0.664253006013804
"Brain","1.15 (0.97-1.37)",0.368916395887106
"Cardiovascular","1.19 (1.00-1.43)",0.368916395887106
"Endocrine","1.00 (0.86-1.16)",0.997040715805296
"Gastrointestinal","1.08 (0.92-1.27)",0.66689064685266
"Immune","1.15 (0.99-1.35)",0.368916395887106
"Kidney and Bladder","1.00 (0.85-1.17)",0.997040715805296
"Liver","1.07 (0.91-1.25)",0.66689064685266
"Lung","1.09 (0.93-1.28)",0.66689064685266
"Muscle","1.07 (0.91-1.26)",0.66689064685266
"Nerve","1.05 (0.88-1.25)",0.729309603173949
"Ovary","0.93 (0.75-1.15)",0.70768575516135
"Pancreas","0.94 (0.81-1.10)",0.66689064685266
"Prostate","1.02 (0.80-1.31)",0.994859791037954
"Skin","0.84 (0.71-1.00)",0.368916395887106
