"Organ","HR (95% CI)","FDR"
"Adipose","1.73 (1.18-2.54)",0.012466159856839
"Brain","1.33 (0.95-1.88)",0.148335374745931
"Cardiovascular","1.48 (0.99-2.23)",0.0975904197043395
"Endocrine","1.96 (1.28-2.99)",0.012466159856839
"Gastrointestinal","1.08 (0.79-1.47)",0.631779795994007
"Immune","1.33 (0.94-1.88)",0.150750115967008
"Kidney and Bladder","1.83 (1.21-2.78)",0.012466159856839
"Liver","1.95 (1.29-2.95)",0.012466159856839
"Lung","1.65 (1.13-2.42)",0.0210787331009396
"Muscle","1.29 (0.91-1.84)",0.193922967509447
"Nerve","1.94 (1.24-3.04)",0.012466159856839
"Ovary","2.53 (1.10-5.81)",0.0533361624262011
"Pancreas","1.18 (0.83-1.67)",0.409419800745527
"Prostate","0.76 (0.41-1.41)",0.409419800745527
"Skin","1.68 (1.18-2.40)",0.012466159856839
