"Organ","HR (95% CI)","FDR"
"Adipose","1.21 (1.02-1.45)",0.0779199986784253
"Brain","1.22 (1.02-1.46)",0.0779199986784253
"Cardiovascular","1.21 (1.01-1.46)",0.0779199986784253
"Endocrine","1.06 (0.90-1.24)",0.61045863652923
"Gastrointestinal","1.27 (1.07-1.51)",0.0276427488147916
"Immune","1.20 (1.02-1.42)",0.0779199986784253
"Kidney and Bladder","1.16 (0.98-1.38)",0.138287059501343
"Liver","1.27 (1.08-1.51)",0.0276427488147916
"Lung","1.29 (1.08-1.53)",0.0276427488147916
"Muscle","0.99 (0.84-1.16)",0.936033833623787
"Nerve","1.16 (0.98-1.38)",0.138287059501343
"Ovary","0.98 (0.79-1.20)",0.936033833623787
"Pancreas","1.06 (0.90-1.23)",0.61045863652923
"Prostate","1.24 (0.94-1.64)",0.186251139678517
"Skin","1.00 (0.85-1.18)",0.964615432577428
