"Organ","HR (95% CI)","FDR"
"Adipose","1.10 (0.83-1.46)",0.748923580029996
"Brain","1.13 (0.87-1.48)",0.748923580029996
"Cardiovascular","1.08 (0.80-1.44)",0.748923580029996
"Endocrine","1.23 (0.91-1.66)",0.748923580029996
"Gastrointestinal","1.20 (0.92-1.57)",0.748923580029996
"Immune","1.03 (0.80-1.32)",0.832489236491323
"Kidney and Bladder","1.07 (0.79-1.44)",0.748923580029996
"Liver","1.12 (0.83-1.49)",0.748923580029996
"Lung","1.11 (0.84-1.47)",0.748923580029996
"Muscle","0.95 (0.73-1.23)",0.748923580029996
"Nerve","1.13 (0.85-1.50)",0.748923580029996
"Ovary","1.10 (0.77-1.57)",0.748923580029996
"Pancreas","1.06 (0.81-1.39)",0.748923580029996
"Prostate","1.23 (0.74-2.05)",0.748923580029996
"Skin","1.08 (0.82-1.43)",0.748923580029996
