"Organ","HR (95% CI)","FDR"
"Adipose","1.09 (0.89-1.33)",0.484465652436132
"Brain","1.16 (0.96-1.39)",0.195118095062051
"Cardiovascular","1.54 (1.22-1.93)",0.00156374821053121
"Endocrine","1.35 (1.10-1.68)",0.0155588834065623
"Gastrointestinal","1.29 (1.04-1.59)",0.0430389970786053
"Immune","1.08 (0.89-1.32)",0.514325182242966
"Kidney and Bladder","1.58 (1.26-1.97)",0.00100949985019871
"Liver","1.37 (1.11-1.69)",0.012612099386884
"Lung","1.22 (1.00-1.49)",0.0813728934767049
"Muscle","1.07 (0.88-1.29)",0.552629541724563
"Nerve","1.12 (0.91-1.38)",0.395647875467712
"Ovary","1.47 (1.05-2.05)",0.0430389970786053
"Pancreas","1.26 (1.03-1.53)",0.0430389970786053
"Prostate","1.08 (0.78-1.49)",0.647086360444083
"Skin","1.45 (1.17-1.80)",0.00357130250495488
