"Organ","HR (95% CI)","FDR"
"Adipose","0.90 (0.75-1.07)",0.70709193639298
"Brain","1.13 (0.93-1.37)",0.70709193639298
"Cardiovascular","1.08 (0.88-1.32)",0.806292572416455
"Endocrine","1.09 (0.90-1.32)",0.762084063454024
"Gastrointestinal","1.11 (0.92-1.34)",0.737431717410955
"Immune","1.09 (0.89-1.32)",0.762084063454024
"Kidney and Bladder","1.14 (0.94-1.39)",0.70709193639298
"Liver","0.88 (0.73-1.06)",0.70709193639298
"Lung","0.96 (0.80-1.15)",0.888016203510571
"Muscle","0.99 (0.82-1.18)",0.892562418008683
"Nerve","1.01 (0.84-1.22)",0.892562418008683
"Ovary","1.06 (0.82-1.37)",0.888016203510571
"Pancreas","1.14 (0.94-1.38)",0.70709193639298
"Prostate","1.05 (0.81-1.36)",0.888016203510571
"Skin","1.01 (0.85-1.20)",0.892562418008683
