"Organ","HR (95% CI)","FDR"
"Adipose","1.33 (0.90-1.97)",0.419409679507393
"Brain","1.05 (0.75-1.48)",0.933316242056514
"Cardiovascular","1.15 (0.75-1.77)",0.919226807296339
"Endocrine","1.35 (0.92-1.99)",0.419409679507393
"Gastrointestinal","1.26 (0.89-1.78)",0.419409679507393
"Immune","0.98 (0.68-1.39)",0.933316242056514
"Kidney and Bladder","1.29 (0.88-1.90)",0.419409679507393
"Liver","1.07 (0.73-1.57)",0.933316242056514
"Lung","1.39 (0.94-2.05)",0.419409679507393
"Muscle","0.77 (0.55-1.09)",0.419409679507393
"Nerve","1.02 (0.70-1.49)",0.933316242056514
"Ovary","2.33 (1.30-4.16)",0.0666493666023711
"Pancreas","0.95 (0.70-1.29)",0.933316242056514
"Prostate","1.11 (0.47-2.62)",0.933316242056514
"Skin","0.90 (0.64-1.27)",0.919226807296339
