"Organ","HR (95% CI)","FDR"
"Adipose","1.58 (1.08-2.30)",0.0908916306949879
"Brain","1.20 (0.82-1.74)",0.406476668330286
"Cardiovascular","1.29 (0.85-1.97)",0.317264054479869
"Endocrine","1.54 (1.00-2.38)",0.12815197239134
"Gastrointestinal","1.42 (0.96-2.10)",0.146180955446948
"Immune","1.52 (1.04-2.21)",0.0908916306949879
"Kidney and Bladder","1.42 (0.94-2.16)",0.166544492120464
"Liver","1.50 (0.97-2.31)",0.142551500064848
"Lung","1.62 (1.10-2.37)",0.0908916306949879
"Muscle","1.68 (1.06-2.65)",0.0908916306949879
"Nerve","1.54 (1.04-2.29)",0.0908916306949879
"Ovary","1.09 (0.59-2.04)",0.819232892574094
"Pancreas","1.31 (0.90-1.91)",0.233566270099408
"Prostate","1.09 (0.53-2.22)",0.819232892574094
"Skin","1.19 (0.85-1.67)",0.38830983586873
