"Organ","HR (95% CI)","FDR"
"Adipose","1.14 (0.99-1.32)",0.115145529818885
"Brain","1.27 (1.10-1.48)",0.0111741980358455
"Cardiovascular","1.16 (1.00-1.35)",0.101944710143133
"Endocrine","1.08 (0.94-1.24)",0.45626944652755
"Gastrointestinal","1.29 (1.12-1.49)",0.0057256667057617
"Immune","1.17 (1.02-1.34)",0.0610211025693972
"Kidney and Bladder","1.16 (1.00-1.34)",0.0957890419094523
"Liver","1.24 (1.08-1.44)",0.0155938305831285
"Lung","1.22 (1.06-1.40)",0.0220516621119555
"Muscle","0.95 (0.83-1.08)",0.561053869116844
"Nerve","1.18 (1.02-1.37)",0.0610211025693972
"Ovary","1.04 (0.87-1.24)",0.748603443894035
"Pancreas","1.00 (0.88-1.14)",0.989221432372712
"Prostate","1.09 (0.87-1.38)",0.561053869116844
"Skin","0.98 (0.86-1.13)",0.892049381332399
