"Organ","HR (95% CI)","FDR"
"Adipose","1.35 (0.79-2.32)",0.410513232778275
"Brain","3.05 (1.31-7.08)",0.141656327739274
"Cardiovascular","1.51 (0.83-2.75)",0.334713024860518
"Endocrine","1.93 (1.01-3.70)",0.23512179087488
"Gastrointestinal","2.02 (1.10-3.71)",0.17856550083353
"Immune","1.54 (0.91-2.62)",0.241110417751005
"Kidney and Bladder","1.69 (0.90-3.19)",0.241110417751005
"Liver","1.71 (0.88-3.32)",0.241110417751005
"Lung","1.24 (0.75-2.04)",0.485239757518848
"Muscle","1.26 (0.73-2.19)",0.485239757518848
"Nerve","1.20 (0.68-2.12)",0.535577682104282
"Ovary","1.38 (0.59-3.23)",0.485239757518848
"Pancreas","1.24 (0.72-2.16)",0.485239757518848
"Prostate","2.5e+00 (6.2e-01-1.0e+01)",0.334713024860518
"Skin","1.72 (0.95-3.12)",0.241110417751005
