"Organ","HR (95% CI)","FDR"
"Adipose","1.02 (0.85-1.22)",0.832267948077117
"Brain","1.22 (1.04-1.44)",0.0274865668751437
"Cardiovascular","1.59 (1.29-1.95)",7.38278467688994e-05
"Endocrine","1.30 (1.08-1.57)",0.013998106034181
"Gastrointestinal","1.32 (1.10-1.59)",0.00786841519348075
"Immune","1.16 (0.98-1.37)",0.11762486570706
"Kidney and Bladder","1.56 (1.28-1.90)",7.38278467688994e-05
"Liver","1.36 (1.13-1.63)",0.00343461837911608
"Lung","1.24 (1.04-1.48)",0.0298569229471511
"Muscle","1.10 (0.94-1.29)",0.290266950117952
"Nerve","1.13 (0.95-1.36)",0.218200979139773
"Ovary","1.28 (0.96-1.70)",0.120005132689961
"Pancreas","1.24 (1.05-1.46)",0.0240102797181249
"Prostate","1.03 (0.78-1.36)",0.832267948077117
"Skin","1.38 (1.15-1.66)",0.00249643241584443
