"Organ","HR (95% CI)","FDR"
"Adipose","2.74 (0.85-8.83)",0.460622434363452
"Brain","0.74 (0.34-1.61)",0.648205226555925
"Cardiovascular","2.03 (0.67-6.18)",0.532897759913818
"Endocrine","1.74 (0.60-5.01)",0.648205226555925
"Gastrointestinal","1.35 (0.66-2.74)",0.648205226555925
"Immune","1.69 (0.78-3.64)",0.532897759913818
"Kidney and Bladder","1.30 (0.49-3.49)",0.687668336161907
"Liver","1.35 (0.59-3.05)",0.648205226555925
"Lung","2.05 (0.90-4.71)",0.460622434363452
"Muscle","1.87 (0.75-4.63)",0.532897759913818
"Nerve","1.39 (0.60-3.21)",0.648205226555925
"Ovary","1.19 (0.40-3.52)",0.812359551147423
"Pancreas","2.86 (0.98-8.38)",0.460622434363452
"Prostate","1.00 (0.11-9.26)",0.998002649562796
"Skin","0.80 (0.37-1.76)",0.687668336161907
