"Organ","HR (95% CI)","FDR"
"Adipose","1.35 (0.53-3.49)",0.695726276820106
"Brain","4.1e+00 (1.2e+00-1.3e+01)",0.300804777867843
"Cardiovascular","2.21 (0.65-7.50)",0.624505622937116
"Endocrine","1.91 (0.58-6.26)",0.624505622937116
"Gastrointestinal","2.25 (0.77-6.56)",0.624505622937116
"Immune","0.86 (0.31-2.39)",0.824444022823475
"Kidney and Bladder","1.51 (0.42-5.47)",0.695726276820106
"Liver","3.7e+00 (5.0e-01-2.6e+01)",0.624505622937116
"Lung","1.84 (0.56-6.05)",0.624505622937116
"Muscle","1.12 (0.35-3.62)",0.847864640058443
"Nerve","1.40 (0.57-3.48)",0.695726276820106
"Ovary","1.8e+00 (2.2e-01-1.4e+01)",0.695726276820106
"Pancreas","1.72 (0.61-4.82)",0.624505622937116
"Prostate",NA,NA
"Skin","1.37 (0.49-3.89)",0.695726276820106
