"Organ","HR (95% CI)","FDR"
"Adipose","1.36 (0.93-1.99)",0.262286533246791
"Brain","1.37 (0.86-2.18)",0.280764694294428
"Cardiovascular","1.22 (0.75-1.97)",0.534024729082144
"Endocrine","1.48 (0.92-2.38)",0.262286533246791
"Gastrointestinal","1.46 (0.89-2.40)",0.262286533246791
"Immune","1.31 (0.86-1.98)",0.281766632410674
"Kidney and Bladder","1.44 (0.90-2.31)",0.262286533246791
"Liver","1.54 (0.92-2.58)",0.262286533246791
"Lung","1.52 (0.98-2.35)",0.262286533246791
"Muscle","1.49 (0.88-2.53)",0.262286533246791
"Nerve","1.64 (1.03-2.61)",0.262286533246791
"Ovary","1.03 (0.49-2.18)",0.939858011863939
"Pancreas","1.13 (0.74-1.72)",0.661584496662997
"Prostate","1.10 (0.52-2.33)",0.851439638726268
"Skin","1.32 (0.89-1.96)",0.269727234824323
