"Organ","HR (95% CI)","FDR"
"Adipose","1.70 (1.06-2.72)",0.0622882059960463
"Brain","1.75 (1.06-2.88)",0.0622882059960463
"Cardiovascular","1.29 (0.81-2.05)",0.322718675685167
"Endocrine","2.25 (1.25-4.06)",0.047534447552964
"Gastrointestinal","1.08 (0.74-1.58)",0.686676725056161
"Immune","1.34 (0.88-2.03)",0.232735255195207
"Kidney and Bladder","1.89 (1.11-3.23)",0.0571855833930595
"Liver","1.86 (1.14-3.02)",0.047534447552964
"Lung","1.60 (1.00-2.55)",0.09266669656633
"Muscle","1.31 (0.82-2.08)",0.315034780088393
"Nerve","2.15 (1.19-3.89)",0.047534447552964
"Ovary","2.47 (0.72-8.50)",0.225098011364223
"Pancreas","1.45 (0.94-2.24)",0.151719290089794
"Prostate","0.71 (0.35-1.43)",0.365513067236722
"Skin","2.30 (1.33-3.97)",0.0433871589223041
