"Organ","OR (95% CI)","FDR"
"Adipose","1.39 (1.20-1.60)",1.73854690974285e-05
"Brain","1.63 (1.42-1.88)",4.84994123751741e-11
"Cardiovascular","1.61 (1.42-1.83)",1.16223041150448e-12
"Endocrine","1.28 (1.09-1.50)",0.00246933462250603
"Gastrointestinal","1.53 (1.32-1.78)",5.08481241822678e-08
"Immune","1.54 (1.35-1.75)",1.74009186763129e-10
"Kidney and Bladder","1.40 (1.22-1.60)",2.33496122969898e-06
"Liver","1.71 (1.48-1.97)",3.84137877829621e-12
"Lung","1.32 (1.15-1.52)",0.000129083209566255
"Muscle","1.37 (1.08-1.75)",0.0115956197983952
"Nerve","1.66 (1.43-1.92)",4.62822986091295e-11
"Ovary","1.55 (1.27-1.88)",2.34351971220079e-05
"Pancreas","1.49 (1.26-1.75)",3.74862187326652e-06
"Prostate","1.51 (1.23-1.85)",8.50265143008928e-05
"Skin","1.23 (1.04-1.45)",0.0149913315496198
