"Organ","OR (95% CI)","FDR"
"Adipose","1.43 (1.24-1.65)",1.00436111161751e-06
"Brain","1.59 (1.39-1.82)",1.56813997949226e-11
"Cardiovascular","1.87 (1.66-2.12)",3.48156479440478e-23
"Endocrine","1.73 (1.52-1.97)",1.64952549409425e-16
"Gastrointestinal","1.57 (1.38-1.78)",1.56813997949226e-11
"Immune","1.72 (1.52-1.93)",2.29827218520901e-18
"Kidney and Bladder","2.01 (1.79-2.26)",9.87859747378792e-31
"Liver","1.62 (1.41-1.86)",1.27764436798862e-11
"Lung","1.39 (1.21-1.59)",3.63150642769284e-06
"Muscle","1.32 (1.08-1.60)",0.00548677474336169
"Nerve","1.56 (1.35-1.81)",6.47705327003696e-09
"Ovary","1.60 (1.27-2.01)",6.30229535009364e-05
"Pancreas","1.88 (1.61-2.20)",7.43400725049362e-15
"Prostate","1.48 (1.20-1.81)",0.00022978789653074
"Skin","1.45 (1.25-1.68)",8.61156468555626e-07
