"Organ","OR (95% CI)","FDR"
"Adipose","1.11 (0.91-1.35)",0.573710946821639
"Brain","1.15 (0.95-1.40)",0.410234315334182
"Cardiovascular","1.20 (1.01-1.42)",0.192180635223735
"Endocrine","0.93 (0.74-1.18)",0.781180201880828
"Gastrointestinal","1.25 (1.01-1.54)",0.192180635223735
"Immune","1.28 (1.09-1.49)",0.0278029006988977
"Kidney and Bladder","1.06 (0.87-1.29)",0.781180201880828
"Liver","0.98 (0.78-1.23)",0.925272068283041
"Lung","1.12 (0.92-1.37)",0.564788832056806
"Muscle","0.86 (0.70-1.05)",0.410234315334182
"Nerve","1.06 (0.84-1.35)",0.781180201880828
"Ovary","1.05 (0.72-1.53)",0.925272068283041
"Pancreas","0.99 (0.73-1.33)",0.925272068283041
"Prostate",NA,NA
"Skin","1.10 (0.81-1.50)",0.781180201880828
