"Organ","OR (95% CI)","FDR"
"Adipose","2.14 (1.82-2.53)",4.22128731434374e-19
"Brain","2.34 (1.96-2.78)",3.29605056791653e-21
"Cardiovascular","2.28 (1.97-2.64)",4.99668066270539e-27
"Endocrine","2.02 (1.69-2.41)",1.32547542573972e-14
"Gastrointestinal","2.06 (1.78-2.38)",3.29605056791653e-21
"Immune","2.13 (1.83-2.48)",1.15791246174344e-21
"Kidney and Bladder","2.09 (1.78-2.46)",4.96163765802752e-19
"Liver","2.25 (1.90-2.67)",4.53464585572784e-20
"Lung","1.90 (1.61-2.24)",8.02793468076699e-14
"Muscle","1.72 (1.22-2.44)",0.00207706534200141
"Nerve","2.32 (1.91-2.81)",1.91564989844014e-17
"Ovary","2.18 (1.67-2.86)",1.71676808172224e-08
"Pancreas","2.08 (1.71-2.53)",3.11871080509809e-13
"Prostate","1.95 (1.50-2.52)",4.50251847991532e-07
"Skin","1.94 (1.66-2.26)",1.42836599212653e-16
