"Organ","OR (95% CI)","FDR"
"Adipose","1.34 (1.19-1.50)",1.01069396027031e-06
"Brain","1.46 (1.31-1.63)",2.06399901479809e-11
"Cardiovascular","1.58 (1.43-1.74)",2.6438618038594e-18
"Endocrine","1.56 (1.41-1.73)",5.61281196256577e-17
"Gastrointestinal","1.51 (1.36-1.68)",7.17888363753917e-14
"Immune","1.45 (1.32-1.59)",7.17888363753917e-14
"Kidney and Bladder","1.55 (1.40-1.71)",1.51743936008794e-17
"Liver","1.42 (1.29-1.58)",2.43978823695003e-11
"Lung","1.32 (1.19-1.47)",6.19535380573263e-07
"Muscle","1.28 (1.11-1.48)",0.000799661383643429
"Nerve","1.41 (1.26-1.58)",3.87722362752482e-09
"Ovary","1.52 (1.29-1.80)",1.00789398418857e-06
"Pancreas","1.54 (1.39-1.71)",9.22814319452209e-16
"Prostate","1.25 (1.08-1.44)",0.0024713618403076
"Skin","1.23 (1.10-1.38)",0.000270342055074269
