"Organ","OR (95% CI)","FDR"
"Adipose","1.35 (1.20-1.53)",7.31590968314695e-06
"Brain","1.34 (1.18-1.53)",2.29324538233681e-05
"Cardiovascular","1.46 (1.30-1.64)",1.37345982410274e-09
"Endocrine","1.26 (1.12-1.43)",0.000377497570246835
"Gastrointestinal","1.34 (1.18-1.52)",2.29324538233681e-05
"Immune","1.34 (1.19-1.52)",7.31590968314695e-06
"Kidney and Bladder","1.22 (1.07-1.39)",0.00436889049986113
"Liver","1.30 (1.15-1.47)",7.77125829336185e-05
"Lung","1.22 (1.08-1.38)",0.00237978083544266
"Muscle","1.21 (1.06-1.38)",0.00688534679653722
"Nerve","1.37 (1.21-1.55)",3.42718968801597e-06
"Ovary","1.50 (1.22-1.83)",0.000158884225319935
"Pancreas","1.16 (1.01-1.33)",0.0408689716778791
"Prostate","1.10 (0.93-1.29)",0.304105123616569
"Skin","1.06 (0.92-1.21)",0.43556680227607
