"Organ","Effect (95% CI)","FDR"
"Adipose","1.16 (1.08-1.25)",6.3207015037526e-05
"Brain","1.11 (1.03-1.19)",0.00627077158872578
"Cardiovascular","1.29 (1.21-1.37)",2.45912329448355e-13
"Endocrine","1.19 (1.10-1.28)",3.9634551432412e-05
"Gastrointestinal","1.19 (1.12-1.28)",9.57296571095313e-07
"Immune","1.17 (1.09-1.25)",3.23123528393875e-05
"Kidney And Bladder","1.18 (1.10-1.27)",1.93722570550041e-05
"Liver","1.19 (1.10-1.27)",1.74062799934326e-05
"Lung","1.14 (1.06-1.23)",0.000653017015780574
"Muscle","1.07 (1.00-1.15)",0.0569409075145023
"Nerve","1.22 (1.14-1.31)",3.64768871585744e-07
"Ovary","1.12 (1.03-1.22)",0.0137557102036631
"Pancreas","1.11 (1.03-1.19)",0.00695066379073958
"Prostate","1.07 (0.93-1.24)",0.348380417796752
"Skin","1.16 (1.08-1.25)",9.3275798527708e-05
