"Organ","Effect (95% CI)","FDR"
"Adipose","1.25 (0.82-1.90)",0.852564268329362
"Brain","1.17 (0.81-1.67)",0.852564268329362
"Cardiovascular","1.02 (0.71-1.46)",0.935242405223807
"Endocrine","1.21 (0.79-1.86)",0.852564268329362
"Gastrointestinal","0.83 (0.57-1.22)",0.852564268329362
"Immune","0.91 (0.64-1.27)",0.852564268329362
"Kidney And Bladder","1.13 (0.79-1.61)",0.852564268329362
"Liver","1.19 (0.76-1.87)",0.852564268329362
"Lung","1.09 (0.75-1.57)",0.886256458179983
"Muscle","0.97 (0.70-1.34)",0.935242405223807
"Nerve","1.03 (0.69-1.51)",0.935242405223807
"Ovary","0.77 (0.46-1.27)",0.852564268329362
"Pancreas","1.10 (0.79-1.53)",0.852564268329362
"Prostate","0.64 (0.26-1.57)",0.852564268329362
"Skin","1.06 (0.74-1.51)",0.935242405223807
