"Organ","Effect (95% CI)","FDR"
"Adipose","1.24 (1.09-1.41)",0.0211176148762935
"Brain","1.08 (0.94-1.23)",0.339189258082918
"Cardiovascular","1.09 (0.95-1.25)",0.316766773679113
"Endocrine","1.08 (0.93-1.25)",0.351840090034155
"Gastrointestinal","1.13 (0.99-1.30)",0.270659500864427
"Immune","1.16 (1.04-1.28)",0.0554683742565612
"Kidney And Bladder","1.10 (0.97-1.26)",0.303405826810684
"Liver","1.14 (0.99-1.32)",0.270659500864427
"Lung","1.10 (0.95-1.26)",0.315484818969524
"Muscle","1.07 (0.93-1.23)",0.353706324193389
"Nerve","1.10 (0.96-1.26)",0.303405826810684
"Ovary","1.01 (0.86-1.17)",0.949436241451188
"Pancreas","0.92 (0.82-1.03)",0.303405826810684
"Prostate","1.18 (0.96-1.46)",0.303405826810684
"Skin","1.09 (0.96-1.24)",0.307329431459092
