"Organ","Effect (95% CI)","FDR"
"Adipose","1.23 (1.13-1.33)",1.08389629117016e-05
"Brain","1.18 (1.09-1.28)",0.000117315722725688
"Cardiovascular","1.23 (1.13-1.34)",1.20086821907524e-05
"Endocrine","1.13 (1.03-1.24)",0.0153958843413485
"Gastrointestinal","1.19 (1.10-1.30)",0.000113106880535019
"Immune","1.17 (1.09-1.26)",0.000113106880535019
"Kidney And Bladder","1.16 (1.06-1.26)",0.00128588946910761
"Liver","1.20 (1.10-1.30)",6.18377853630138e-05
"Lung","1.12 (1.04-1.22)",0.00604897016856375
"Muscle","1.16 (1.08-1.25)",0.000224382468246985
"Nerve","1.18 (1.09-1.28)",0.000113106880535019
"Ovary","1.07 (0.95-1.20)",0.252851888010945
"Pancreas","1.05 (0.97-1.12)",0.234936210634537
"Prostate","1.21 (1.09-1.35)",0.000721682558984543
"Skin","1.15 (1.06-1.24)",0.000710415961816868
