"Organ","Effect (95% CI)","FDR"
"Adipose","1.09 (1.02-1.16)",0.0199474250028901
"Brain","1.04 (0.98-1.11)",0.235157282203669
"Cardiovascular","1.08 (1.01-1.16)",0.0392231489809533
"Endocrine","1.07 (0.99-1.15)",0.120013405372329
"Gastrointestinal","1.11 (1.04-1.18)",0.00991920564069226
"Immune","1.10 (1.03-1.17)",0.0122409758026576
"Kidney And Bladder","1.08 (1.01-1.16)",0.0475252158205317
"Liver","1.13 (1.06-1.20)",0.00142889367659341
"Lung","1.11 (1.04-1.18)",0.0113069322096911
"Muscle","1.03 (0.97-1.10)",0.29217289853023
"Nerve","1.06 (1.00-1.13)",0.103132348517899
"Ovary","1.08 (0.99-1.19)",0.120013405372329
"Pancreas","1.02 (0.96-1.08)",0.520603860050554
"Prostate","1.10 (0.99-1.22)",0.103132348517899
"Skin","1.10 (1.03-1.17)",0.0128466760063052
