"Organ","Effect (95% CI)","FDR"
"Adipose","1.12 (0.98-1.28)",0.114211965707711
"Brain","1.33 (1.16-1.52)",0.000723767408359134
"Cardiovascular","1.18 (1.02-1.36)",0.0538081476322949
"Endocrine","1.22 (1.05-1.41)",0.0224764422610369
"Gastrointestinal","1.14 (1.00-1.29)",0.0721562018927225
"Immune","1.18 (1.03-1.34)",0.0356147064876142
"Kidney And Bladder","1.19 (1.03-1.37)",0.0409965136203281
"Liver","1.28 (1.10-1.48)",0.00820455486712211
"Lung","1.12 (0.97-1.30)",0.138099484650332
"Muscle","1.12 (0.98-1.28)",0.114211965707711
"Nerve","1.25 (1.08-1.44)",0.011895768597115
"Ovary","1.14 (0.98-1.33)",0.114211965707711
"Pancreas","1.19 (1.05-1.35)",0.0215099006572257
"Prostate","0.96 (0.77-1.21)",0.754543939538
"Skin","1.07 (0.94-1.21)",0.344064481346507
