"Organ","Effect (95% CI)","FDR"
"Adipose","1.00 (0.95-1.05)",0.994532919582815
"Brain","1.09 (1.04-1.15)",0.00173057549156289
"Cardiovascular","1.14 (1.08-1.20)",1.23429762338258e-05
"Endocrine","1.08 (1.03-1.14)",0.00173057549156289
"Gastrointestinal","1.13 (1.07-1.18)",1.23429762338258e-05
"Immune","1.09 (1.04-1.15)",0.00134285248600657
"Kidney And Bladder","1.14 (1.08-1.20)",8.27187629946751e-06
"Liver","1.14 (1.08-1.20)",4.77688669627469e-06
"Lung","1.08 (1.03-1.13)",0.00361424481269117
"Muscle","1.04 (0.98-1.09)",0.179490930293157
"Nerve","1.09 (1.03-1.15)",0.00324023655113319
"Ovary","1.05 (1.00-1.11)",0.0752495648881189
"Pancreas","1.05 (1.01-1.10)",0.0265051397702109
"Prostate","1.07 (0.98-1.17)",0.162076794531989
"Skin","1.06 (1.00-1.11)",0.0582817840421823
