"Organ","Effect (95% CI)","FDR"
"Adipose","1.27 (0.99-1.64)",0.135803903532826
"Brain","1.25 (0.99-1.58)",0.135803903532826
"Cardiovascular","1.19 (0.91-1.56)",0.283481410071221
"Endocrine","1.33 (1.00-1.77)",0.135803903532826
"Gastrointestinal","1.34 (1.04-1.73)",0.115518899747618
"Immune","1.19 (0.93-1.51)",0.263264307421649
"Kidney And Bladder","1.28 (0.99-1.65)",0.135803903532826
"Liver","1.25 (0.95-1.64)",0.210732111886034
"Lung","1.40 (1.08-1.80)",0.0813105161941158
"Muscle","0.96 (0.76-1.20)",0.758537204865327
"Nerve","1.17 (0.92-1.50)",0.283481410071221
"Ovary","1.68 (1.14-2.47)",0.0813105161941158
"Pancreas","1.15 (0.91-1.45)",0.320720132831638
"Prostate","1.00 (0.61-1.64)",0.994825713007901
"Skin","1.05 (0.83-1.33)",0.758537204865327
