"Organ","Effect (95% CI)","FDR"
"Prostate","1.73 (1.40-2.13)",5.265e-06
"Ovary","1.22 (0.85-1.75)",0.275
"Kidney And Bladder","1.58 (1.31-1.91)",1.335e-05
"Cardiovascular","1.51 (1.26-1.79)",2.095e-05
"Brain","1.49 (1.25-1.78)",4.2e-05
"Nerve","1.42 (1.16-1.74)",0.00166
"Immune","1.43 (1.20-1.69)",0.0001578
"Liver","1.35 (1.12-1.64)",0.00458571428571429
"Endocrine","1.38 (1.11-1.70)",0.00565
"Gastrointestinal","1.31 (1.09-1.56)",0.00565
"Adipose","1.25 (0.99-1.57)",0.0643846153846154
"Skin","1.24 (1.02-1.52)",0.0456818181818182
"Muscle","1.21 (1.04-1.41)",0.0201
"Lung","1.19 (1.00-1.41)",0.054875
"Pancreas","1.16 (0.98-1.38)",0.0970714285714286
