"Organ","Effect (95% CI)","FDR"
"Ovary","1.04 (0.61-1.78)",0.879
"Prostate","1.26 (0.92-1.73)",0.175384615384615
"Brain","1.79 (1.44-2.23)",1.98e-06
"Nerve","1.72 (1.36-2.18)",4.715e-05
"Gastrointestinal","1.70 (1.34-2.15)",4.715e-05
"Cardiovascular","1.60 (1.27-2.02)",0.000252
"Immune","1.54 (1.23-1.93)",0.000405
"Adipose","1.56 (1.23-1.97)",0.000405
"Kidney And Bladder","1.53 (1.23-1.89)",0.000305
"Endocrine","1.54 (1.24-1.92)",0.0002526
"Liver","1.43 (1.04-1.96)",0.04155
"Skin","1.39 (1.09-1.78)",0.0142833333333333
"Lung","1.26 (0.94-1.68)",0.145
"Pancreas","1.21 (0.87-1.69)",0.279642857142857
"Muscle","1.18 (0.98-1.42)",0.0992727272727273
