"Organ","Effect (95% CI)","FDR"
"Prostate","0.82 (0.65-1.04)",0.327
"Ovary","0.98 (0.80-1.21)",0.893
"Immune","1.18 (1.01-1.38)",0.3045
"Kidney And Bladder","1.18 (1.00-1.40)",0.3045
"Gastrointestinal","1.17 (0.99-1.39)",0.3045
"Lung","1.12 (0.95-1.32)",0.4075
"Muscle","1.11 (0.98-1.27)",0.327
"Endocrine","1.09 (0.92-1.31)",0.526666666666667
"Brain","1.08 (0.93-1.27)",0.526666666666667
"Adipose","0.93 (0.81-1.06)",0.526666666666667
"Cardiovascular","1.04 (0.89-1.21)",0.874090909090909
"Skin","0.96 (0.82-1.13)",0.874090909090909
"Nerve","1.02 (0.86-1.21)",0.893
"Liver","1.01 (0.87-1.18)",0.893
"Pancreas","1.01 (0.84-1.22)",0.893
