"Organ","Effect (95% CI)","FDR"
"Prostate","1.14 (1.03-1.26)",0.014625
"Ovary","1.09 (0.98-1.23)",0.114
"Nerve","1.25 (1.15-1.36)",7.2e-07
"Liver","1.24 (1.15-1.33)",4.62e-07
"Immune","1.23 (1.14-1.33)",1.98e-06
"Cardiovascular","1.21 (1.12-1.31)",6.4125e-06
"Lung","1.17 (1.07-1.26)",0.0005825
"Brain","1.15 (1.06-1.25)",0.001615
"Muscle","1.14 (1.06-1.22)",0.0005825
"Kidney And Bladder","1.15 (1.06-1.25)",0.00101142857142857
"Endocrine","1.15 (1.06-1.24)",0.0011025
"Adipose","1.14 (1.04-1.25)",0.007845
"Gastrointestinal","1.12 (1.03-1.21)",0.0110727272727273
"Skin","1.07 (0.99-1.17)",0.0924642857142857
"Pancreas","1.07 (0.99-1.16)",0.0924642857142857
