"Organ","Effect (95% CI)","FDR"
"Prostate","1.80 (1.50-2.17)",1.825e-09
"Ovary","1.28 (1.00-1.63)",0.0464
"Cardiovascular","1.53 (1.34-1.75)",1.425e-09
"Kidney And Bladder","1.54 (1.37-1.73)",4.77e-12
"Brain","1.44 (1.26-1.65)",1.899e-07
"Nerve","1.43 (1.24-1.66)",4.65e-06
"Immune","1.42 (1.26-1.61)",1.1325e-07
"Liver","1.37 (1.16-1.61)",0.00035
"Gastrointestinal","1.37 (1.20-1.56)",9.45e-06
"Endocrine","1.37 (1.19-1.58)",2.5875e-05
"Adipose","1.28 (1.08-1.50)",0.00422307692307692
"Pancreas","1.25 (1.09-1.44)",0.002475
"Skin","1.25 (1.09-1.44)",0.002475
"Muscle","1.23 (1.08-1.39)",0.00198
"Lung","1.20 (1.03-1.39)",0.0189642857142857
