"Organ","Effect (95% CI)","FDR"
"Prostate","1.38 (1.11-1.73)",0.00452307692307692
"Ovary","1.33 (1.13-1.56)",0.000786
"Lung","1.48 (1.33-1.64)",1.155e-12
"Gastrointestinal","1.48 (1.33-1.64)",3.93e-12
"Immune","1.46 (1.31-1.63)",4.48e-11
"Liver","1.45 (1.30-1.62)",2.13375e-10
"Cardiovascular","1.42 (1.27-1.58)",5.46e-10
"Brain","1.43 (1.28-1.60)",6.825e-10
"Skin","1.40 (1.25-1.57)",2.75625e-08
"Adipose","1.39 (1.24-1.55)",2.63571428571429e-08
"Nerve","1.34 (1.18-1.53)",1.88333333333333e-05
"Endocrine","1.23 (1.09-1.39)",0.000804545454545454
"Kidney And Bladder","1.22 (1.09-1.37)",0.00102625
"Pancreas","1.23 (1.06-1.43)",0.00788571428571429
"Muscle","1.16 (1.03-1.31)",0.0134
