"Organ","Effect (95% CI)","FDR"
"Prostate","1.03 (0.92-1.16)",0.568
"Ovary","1.08 (0.97-1.19)",0.171923076923077
"Immune","1.17 (1.10-1.25)",1.389e-05
"Gastrointestinal","1.13 (1.06-1.21)",0.00055
"Kidney And Bladder","1.13 (1.07-1.21)",0.0004365
"Brain","1.12 (1.05-1.20)",0.002655
"Adipose","1.11 (1.03-1.20)",0.0114
"Cardiovascular","1.11 (1.04-1.19)",0.00612
"Endocrine","1.11 (1.04-1.19)",0.00615
"Liver","1.10 (1.02-1.18)",0.01430625
"Muscle","1.06 (1.00-1.13)",0.0983333333333333
"Nerve","1.06 (0.99-1.14)",0.156818181818182
"Lung","1.06 (0.99-1.14)",0.156818181818182
"Skin","1.06 (0.98-1.14)",0.16625
"Pancreas","1.05 (0.98-1.13)",0.198214285714286
