"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.01 (-0.03-0.05)",0.782981517396215
"Brain","-0.00 (-0.04-0.04)",0.992601268080043
"Cardiovascular","-0.03 (-0.08-0.02)",0.283263898905935
"Endocrine","-0.02 (-0.06-0.02)",0.478691209467788
"Gastrointestinal","-0.04 (-0.08-0.00)",0.121685128029379
"Immune","-0.01 (-0.06-0.03)",0.648183640601801
"Kidney_urinary","-0.06 (-0.10--0.01)",0.016557012248395
"Liver","-0.01 (-0.06-0.04)",0.789462373053321
"Lung","-0.04 (-0.08-0.00)",0.11153065644082
"Muscle","0.01 (-0.03-0.05)",0.716195442254299
"Nerve","-0.01 (-0.05-0.03)",0.721765844567777
"Ovary","-0.02 (-0.06-0.02)",0.367119774791229
"Pancreas","-0.02 (-0.06-0.02)",0.478691209467788
"Skin","0.01 (-0.03-0.05)",0.62754628024634
