"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.02 (-0.02-0.06)",0.342297325045234
"Brain","0.02 (-0.02-0.05)",0.407394629524304
"Cardiovascular","0.04 (0.00-0.08)",0.0564939046119799
"Endocrine","0.04 (0.00-0.07)",0.0461809013176686
"Gastrointestinal","-0.00 (-0.04-0.04)",0.975687431517291
"Immune","0.03 (-0.01-0.06)",0.171193707134778
"Kidney_urinary","0.04 (0.00-0.08)",0.0528045192827849
"Liver","0.00 (-0.03-0.04)",0.916501563341163
"Lung","0.02 (-0.01-0.05)",0.317143185267234
"Muscle","0.03 (-0.00-0.07)",0.0822345195282396
"Nerve","0.02 (-0.02-0.06)",0.317143185267234
"Pancreas","0.02 (-0.02-0.06)",0.343539234988459
"Prostate","-0.03 (-0.06-0.01)",0.227398473607581
"Skin","0.04 (0.01-0.07)",0.0406498365626458
