"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.07 (0.02-0.13)",0.0177970484569883
"Brain","0.16 (0.11-0.21)",1.56956560266872e-08
"Cardiovascular","0.24 (0.17-0.31)",8.49365217887037e-11
"Endocrine","0.20 (0.14-0.27)",1.92973470866236e-08
"Gastrointestinal","0.20 (0.13-0.27)",1.37187163243714e-07
"Immune","0.17 (0.10-0.24)",2.95055090878606e-06
"Kidney_urinary","0.27 (0.20-0.34)",2.45862921906508e-13
"Liver","0.16 (0.10-0.22)",2.94016328914567e-06
"Lung","0.15 (0.09-0.22)",2.28304358006098e-05
"Muscle","0.12 (0.05-0.18)",0.000808771726956412
"Nerve","0.14 (0.08-0.20)",8.21508673812889e-06
"Pancreas","0.14 (0.08-0.20)",5.71555236031783e-05
"Prostate","0.11 (0.05-0.16)",0.000808771726956412
"Skin","0.14 (0.08-0.20)",4.71750245186499e-05
