"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.02 (-0.02-0.06)",0.45015349014283
"Brain","0.07 (0.02-0.11)",0.020999764706426
"Cardiovascular","0.05 (-0.01-0.10)",0.15555683137609
"Endocrine","0.08 (0.03-0.14)",0.00923334284075663
"Gastrointestinal","0.09 (0.02-0.16)",0.0147007654594025
"Immune","0.07 (0.02-0.13)",0.014894585074647
"Kidney_urinary","0.14 (0.08-0.19)",2.38117273680941e-05
"Liver","0.02 (-0.04-0.07)",0.652898305791717
"Lung","0.01 (-0.04-0.05)",0.742910688179855
"Muscle","0.06 (0.01-0.12)",0.0559704088216892
"Nerve","0.01 (-0.04-0.06)",0.734764126360448
"Pancreas","0.14 (0.09-0.20)",1.94728693601639e-06
"Prostate","-0.04 (-0.08-0.00)",0.114641140690767
"Skin","0.03 (-0.01-0.08)",0.200893612410312
